x y r b
444 302 10 29
594 32 7 212
150 226 10 25
242 424 10 31
38 106 9 29
496 452 8 27
214 562 7 241
224 598 10 36
474 320 10 36
232 68 9 39
226 356 8 34
346 388 7 246
358 130 7 61
362 440 7 215
528 456 7 45
504 574 10 37
30 438 9 34
178 590 9 36
296 518 9 35
318 28 9 35
412 472 8 38
254 266 7 247
284 218 7 252
550 182 10 26
70 378 8 28
390 532 8 34
332 276 8 41
322 330 7 215
410 10 9 28
442 56 9 33
138 132 8 104
328 100 8 28
468 384 8 38
76 560 7 27
206 312 7 25
